Entry	Gene names  (primary )	Cross-reference (FlyBase)
Q9VXY0	Cyp4s3	FBgn0030615;
P33270	Cyp6a2	FBgn0000473;
Q9VFP1	Cyp6d5	FBgn0038194;
Q9V9L1	Cyp6w1	FBgn0033065;
Q9V4I0	Cyp9b1	FBgn0015038;
Q8IPM8	cpx	FBgn0041605;
Q02910	Cpn	FBgn0261714;
Q9V564		FBgn0033401;
Q9VKH0		FBgn0032361;
Q24478	Cp190	FBgn0000283;
P82713	Cyp309a2	FBgn0041337;
Q9VS79	Cyp4d8	FBgn0015033;
Q27593	Cyp6a8	FBgn0013772;
Q9V674	Cyp6g1	FBgn0025454;
O77475		FBgn0025335;
Q27367	crq	FBgn0015924;
P04146	GIP	FBgn0013437;
Q9VHS7	Coq2	FBgn0037574;
P41046	corto	FBgn0010313;
Q94514	COX5A	FBgn0019624;
A1Z7Z9	cep131	FBgn0033447;
Q9V399	Cyp303a1	FBgn0001992;
Q9VYQ7	Cyp311a1	FBgn0030367;
Q9VYQ5	Cyp318a1	FBgn0030369;
Q27606	Cyp4e2	FBgn0014469;
Q9V558	Cyp4p1	FBgn0015037;
Q9VN93		FBgn0260462;
Q9V3D6	Cpsf100	FBgn0027873;
Q9V4S8	CSN7	FBgn0028836;
Q9VF78	ldlCp	FBgn0026634;
P56721	kn	FBgn0001319;
Q8MLL3	Coq10	FBgn0033086;
O16844	cos	FBgn0000352;
Q9V559	Cyp4p3	FBgn0033397;
Q27594	Cyp6a9	FBgn0013771;
Q9VCW1	Cyp6d4	FBgn0039006;
Q9V4I1	Cyp9b2	FBgn0015039;
Q9VC61		FBgn0039209;
Q9XYM0	Crk	FBgn0024811;
P17886	crn	FBgn0000377;
P32027	croc	FBgn0014143;
P08181	CkIIalpha	FBgn0264492;
Q9VCY3	CSN6	FBgn0028837;
P29349	csw	FBgn0000382;
O46036	CtBP	FBgn0020496;
Q7JWW5		FBgn0033375;
Q01819	Con	FBgn0005775;
