Gene Symbol and Synonyms,UniProt Accession
BT_0530,Q8AAD5
BT_3710,Q8A1F6
BT_0748,Q8A9R7
BT_1051,Q8A8W6
BT_3833,Q8A138
BT_4704,Q89YM7
BT_0518,Q8AAE7
BT_2016,Q8A670
BT_0180,Q8ABD0
BT_0993,Q8A924
BT_0653,Q8AA12
BT_1442,Q8A7T2
BT_2883,Q8A3S1
BT_4006,Q8A0L5
BT_3733,Q8A1D3
BT_2717,Q8A486
BT_1322,Q8A852
BT_4072,Q8A0E9
BT_2720,Q8A483
BT_4004,Q8A0L7
BT_2046,Q8A640
BT_1381,Q8A7Z3
BT_0735,Q8A9T0
BT_1293,Q8A881
BT_t20,-
BT_t26,-
BT_3121,Q8A334
BT_2150,Q8A5T8
BT_3892,Q8A0X9
BT_3605,Q8A1Q4
BT_2017,Q8A669
BT_3758,Q8A1A8
BT_t47,-
BT_1152,Q8A8L5
BT_t54,-
BT_4386,Q89ZJ1
BT_2423,Q8A521
BT_0005,Q8ABV5
BT_3460,Q8A246
BT_1224,Q8A8E3
BT_0541,Q8AAC4
BT_0589,Q8AA76
BT_2091,Q8A5Z5
BT_3948,Q8A0S3
BT_3351,Q8A2F4
BT_1539,Q8A7I5
BT_4103,Q8A0B8
BT_2009,Q8A677
BT_t49,-
BT_3821,Q8A146
BT_3179,Q8A2X6
BT_0714,Q8A9V1
BT_0601,Q8AA64
BT_2707,Q8A496
BT_3931,Q8A0U0
BT_0675,Q8A9Z0
BT_2401,Q8A543
BT_3356,Q8A2E9
BT_3935,Q8A0T6
BT_3823,Q8A144
BT_2570,Q8A4M9
BT_1544,Q8A7I0
BT_2748,Q8A455
BT_3086,Q8A369
BT_1950,Q8A6D4
BT_1739,Q8A6Y6
BT_1857,Q8A6M0
BT_1750,Q8A6X5
BT_0683,Q8A9Y2
BT_0716,Q8A9U9
BT_3588,Q8A1S1
BT_4359,Q89ZL8
BT_1371,Q8A803
BT_t33,-
BT_2421,Q8A523
BT_1297,Q8A877
BT_4067,Q8A0F4
BT_4423,Q89ZF4
BT_2419,Q8A525
BT_0015,Q8ABU5
BT_2714,Q8A489
BT_3713,Q8A1F3
BT_1147,Q8A8M0
BT_1497,Q8A7M7
BT_0667,Q8A9Z8
BT_0155,Q8ABF5
BT_3834,Q8A137
BT_2694,Q8A4A9
BT_0888,Q8A9C7
BT_3816,Q8A151
BT_4263,Q89ZV8
BT_3361,Q8A2E4
