Gene ID	Gene Symbol	
380138	plod3	
446352	lpa	
446695	MGC83543	
495133	stag1	
100036945	LOC100036945	
398911	galnt1	
446333	thoc5-a	
414457	wbp11	
446360	ube2g2	
380456	hmgn1-b	
2642082	ATP8	
444010	pafah2	
100037126	wdr36	
399299	irs1	
398927	MGC68723	
447704	MGC81583	
734548	gsta4	
492305	cdkn1a	
447267	cyp21a2.1	
495146	pde4a	
100316914	tnfsf10	
380001	cndp2	
734641	MGC115451	
779419	stim1	
398635	MGC64293	
431824	clp1	
446456	rpl17-a	
100049751	nqo1	
446309	rps25	
379418	rpl29-a	
397953	grin1	
432130	imp3	
734885	chst7	
443731	LOC443731	
447783	coq7	
446876	vasp	
735052	vps35	
398274	polr1a	
380166	arf5	
494688	pym1	
398505	thoc1	
tRNA-Glu	-	
431992	MGC81379	
397946	snrnp70	
378584	drd2-a	
397917	slc9a1	
379655	MGC68961	
398126	pak1	
379494	hsd11b1l.2	
379848	sec61b	
100137685	LOC100137685	
399422	actn1	
100329215	p38-beta	
399374	hnrnpu	
380411	pabpn1-b	
397928	parp1	
492306	p16Xic3	
444193	MGC80720	
399095	hs2st1	
779338	fut8-b	
379808	capzb	
2642086	ND1	
398044	cdc20	
397739	col2a1b	
779153	gm2a	
398746	st3gal3	
399336	sf3b1	
444529	pdpk1	
380493	ube3c	
444342	dhx58	
734576	auh	
100037104	gsto2	
447732	arrb1	
414480	acox2	
414706	cox6c.1	
734297	MGC84886	
394274	sod1-b	
399158	ruvbl1	
735175	atic	
779391	spop-b	
397820	casp10	
735099	sel1l	
444184	rac2	
446541	e2f4	
447724	snrpa1	
779300	yod1	
446949	dmgdh	
100101323	srp68	
734354	mgat4a	
414637	stat5b	
380448	tlp19	
414533	socs3	
399258	psen1	
443590	wdr3	
444474	cldn14	
414616	MGC81444	
379920	atp1b1	
379249	tjp3	
398357	xrcc6	
379395	utp6	
447636	tars	
378602	gck	
398888	MGC68601	
444487	ncf2	
100036921	gsta1	
397743	ccnb2	
100335045	aanat-a	
380252	cntfr	
444086	enah	
495125	chmp4b	
444370	pmm2	
378543	nodal1	
398082	xcdc6	
494744	tfdp1-a	
446331	bcap31	
398343	hsp70	
373633	pgr-a	
495096	cmbl	
100037211	rag2	
444825	gnat1	
380296	acaa1	
380057	dnaja1	
432105	galnt4	
378533	atf2	
779127	rap1a	
735176	tiam1	
398258	hes4-b	
tRNA-Met	-	
444204	kmt5b	
100037186	gmppb-b	
380218	enpp2	
378492	dna2	
446851	myl9	
446763	pgk1	
380308	cbs-a	
398993	adh1c	
373759	cnr1	
100158341	slc17a5	
447401	glo1-a	
404226	prkcd-a	
380238	csnk1a1	
100037181	LOC100037181	
446996	cask	
379900	ndufb5	
100137619	LOC100137619	
444501	cwc15-b	
379950	ndufb2	
446660	MGC82698	
494719	psme3	
495112	plod1	
399434	prdx6	
380403	xrcc1	
495991	rbks	
100037210	ppt1	
380124	prkag3-b	
399266	myh10	
494830	gtf2b-b	
379662	MGC69040	
100190767	elk1	
398134	LOC398134	
398745	st3gal6	
495826	suv420h1-b	
495261	rnf185	
734234	ripk1	
397768	ppard	
379341	MGC53106	
380344	chrnb3	
444626	atp1b2	
100189566	casc3	
380186	rheb	
397970	wnt8a	
397836	ptch2-b	
379162	MGC52912	
447633	scd	
734211	epor	
398333	gtf2f2	
444766	cpsf4	
378546	cacnb3-a	
496314	cyp26a1	
444203	MGC80739	
399157	clock	
397763	npy-b	
443753	naga-a	
100190782	b4galt2	
380246	cdk1-a	
432195	rad54b	
446778	taok3	
443767	aldh3a2	
100127347	grin2b	
399413	tdg	
378493	pak3	
398750	MGC68803	
444026	gga1	
431937	ctns	
100286797	foxo6	
734177	p2y11	
443807	srsf4	
734583	ak6	
734983	cox7a2l	
100049724	LOC100049724	
379832	sf3a2	
379577	xrcc3	
100462908	st3gal-iii	
734876	MGC132180	
100036900	pnlip	
380165	ap2b1	
444480	alas1	
734930	MGC131041	
398699	htr2b	
734224	aicda	
432281	gucy1b3	
398843	ppara	
444160	tecr	
100126647	LOC100126647	
495517	LOC495517	
734578	polr2l.1	
446866	idua	
447460	lpar2	
100036888	sgpp2	
379161	ccnd1-b	
446783	nars	
446265	psmd1	
495027	taldo1	
380581	chst11	
397764	LOC397764	
100191021	pld1	
495416	sec63	
397884	ptgds-b	
444638	ntf3	
734846	mrpl23	
398237	fbxo5-a	
379417	hpgds-b	
446688	fads2	
496041	LOC496041	
734197	fancl	
379508	thbs1	
494739	uck2	
100037010	ca12	
431927	alg13	
446460	tram1	
432239	MGC80197	
447502	gba3	
100505440	LOC100505440	
444206	MGC80748	
100192357	faslg	
100037243	alg3	
496334	cdk6	
446458	gcdh	
734255	txnl4a	
380274	pkm	
379828	itpk1	
446477	pex26	
399109	psma7-b	
404227	prkcd-b	
444201	laptm4a-b	
380384	gamt-a	
447524	pnliprp1	
398915	MGC68724	
734810	bcl2l11	
734226	lep	
373837	camk4	
496005	psmb3	
398717	invs-b	
444788	rad51d	
373606	il1b	
734389	clta-b	
444357	MGC82833	
373701	ctbp1	
380545	farsa-b	
380598	ppp1cc	
734800	tollip-a	
495440	atp2a3	
432308	MGC80056	
446467	acadm	
398004	ppp5c	
397771	kras-b	
495521	colgalt1	
380105	gclm	
399252	hdac2	
399248	p4hb	
398396	wee2a	
444817	pycard	
399059	MGC68706	
380120	adprm	
379778	pgam2	
387327	mknk1	
495333	sh3gl3	
734918	actg1-a	
444025	prkg2	
734341	polr2i	
431991	MGC81419	
494834	tmem55b	
444298	cttn	
397892	eef1d	
100301976	foxo4	
496044	spcs1	
431913	ssu72	
443966	psmb2	
373789	vegf-b	
394307	mad1-A	
734194	shroom3	
373573	ctse-b	
379278	far1	
399199	pafah1b1	
380258	tubb4b	
734873	eci2	
380303	chmp5-b	
398133	ocln-b	
734998	farp2	
446761	chmp5-a	
379183	sart1	
414511	MGC82246	
734199	ugdh-a	
779433	serpine1	
494735	pigt	
398966	uck1	
100158284	fbxo4	
447549	MGC84099	
398599	dbf4	
444642	ip6k2-a	
394270	sdk2-a	
446655	cbs-b	
443750	nmrk2	
779370	fgfr3	
379259	taz	
398033	pitx2-b	
380000	ndufs1	
380150	fah	
734499	ap1m1	
447598	MGC84737	
100049784	wnt10a	
503673	LOC503673	
407753	mmp14	
446390	tirap	
380141	hif1a	
100337576	map3k12-b	
495209	LOC495209	
101027280	LOC101027280	
779274	ctu1	
380596	gale	
379106	MGC52827	
734465	sf3b2	
394286	vamp2-a	
779368	tuba8	
444410	MGC82980	
779435	b4galt5	
373625	ret	
735231	cadm1	
733178	aldh1a3	
444661	pde6h	
495118	LOC495118	
444609	snrnp27	
443907	edem3	
447208	MGC81785	
398556	glul-b	
494642	LOC494642	
446346	pex12	
432311	spcs3	
394295	lman1	
379826	rplp0	
100049109	rae1	
398757	tob1	
735213	gpcpd1	
379973	snrp116-pending	
444276	ndufb10	
100037213	LOC100037213	
380578	pgm3	
446684	alg6	
735145	sgol1	
379358	stx7	
380245	pdgfra	
495012	ppip5k2	
397782	xfgfra2	
443976	ca6	
403391	ptger2	
432133	ppm1b	
414667	chmp1a	
779217	MGC154328	
101027301	LOC101027301	
414534	cnot10-b	
379952	cyp-7	
100294513	gria1	
444057	ndufs6	
379070	vtcn1	
495408	pfkfb1	
398502	nampt	
399465	tbp-a	
398238	lef1	
414598	ndufa10-b	
397859	xstk2	
446478	pdia6-a	
379881	rpl27a	
373690	fzd8-a	
734481	MGC115064	
379868	spop-a	
447388	elovl2	
100101308	LOC100101308	
446564	mrps7	
380096	atp2a1	
399110	jag1	
380388	prkacb	
447023	MGC82823	
397913	btg4-b	
379172	cfl1-b	
494689	LOC494689	
398145	tacc3	
734449	vdac2	
100335131	tpm2-a	
444403	agtr2	
379601	lgmn	
735104	dao	
380550	eef1a2	
496325	rxrg	
2642078	ND5	
398782	MGC68680	
380298	eno1-b	
379343	srsf10	
432041	rbmx	
446611	hexdc	
379760	hspa1l	
100137650	zfp36l2.2	
379507	mras	
380033	rpl3	
379742	kars	
447454	setd1b	
379067	MGC52780	
397716	LOC397716	
447616	dbt	
734650	seh1l	
100113430	map3k12-a	
100037058	vegfa-b	
399130	sgk1-a	
444832	ywhah	
414493	nanp	
780737	LOC780737	
495230	rnps1-a	
446826	vav1	
380597	mrps17	
444493	MGC81887	
379368	ssr2	
443994	cdc27	
446527	hsph1-b	
431939	sp1	
432060	polr2c	
414622	MGC81403	
379720	MGC69086	
100037159	ssbp1-b	
380423	psmd14	
432085	ube2f	
495683	stat6	
446332	phyh	
445821	rps6ka1	
100158337	tfdp2	
734669	MGC116437	
100101277	LOC100101277	
100036892	abcg2	
444488	akr1a1	
779307	snrpg	
496168	gstz1	
735185	MGC131170	
734926	u2af1	
398075	rxrb-b	
734202	adgf-b	
443882	uba52	
734218	sdc4-a	
444573	MGC84007	
399461	cdk7	
444238	pip5k1b	
734922	gna14-b	
100174791	il6st	
495063	vamp1	
779415	ppie	
100036885	alpi.1	
444021	sumo2-b	
447488	eif3i	
734929	traf6-a	
394276	rps6kb1	
735081	pex11g	
398147	ctbp2	
100036910	LOC100036910	
443578	gpat4	
379784	mthfr	
432268	flad1	
399167	rbm8	
398596	ppil1	
414479	rasgrp1	
100653505	LOC100653505	
100037187	uap1	
414481	nhp2	
734668	MGC116435	
379765	ckm	
380102	cg10992	
443926	MGC80249	
444280	nmd3	
443744	gpx3-a	
444363	xylt1	
780764	smad4.1	
443782	vdac3	
443690	coq3	
398848	pgd	
tRNA-Asn	-	
398651	rpl18-a	
399391	brca1	
447091	MGC85256	
444670	pde6g-a	
399154	gh1-a	
474158	grk4-b	
432338	ngfr	
496301	eif2b4	
399306	aplnr-a	
379824	rab11b.1	
446306	rpl13	
494997	LOC494997	
398359	plcg1	
444260	dnajc1	
446455	ctnnbip1-b	
399382	ddx5	
398165	pard6b	
443755	MGC81086	
447605	fntb	
380068	cdc23	
398553	nt5c3b	
399185	trh4	
431949	llgl1	
397873	bmp2-b	
403390	orai1	
446701	ap1m2	
444030	herc3	
734338	MGC85146	
399144	gdf6	
447420	gmppa-b	
100158413	LOC100158413	
386670	chrne	
380029	colec11	
495398	il13ra2	
444659	s1pr1	
399100	stk11	
398904	akr1b1	
446314	MGC83416	
447624	scly	
398970	epb41l3	
734888	gpx4-b	
380173	atp5c1	
432091	vps26a-a	
100125228	tyms	
734676	rpl39-b	
443740	rps3-b	
398611	ppp2r3a	
431883	rfc2	
734772	zfyve27	
100037196	mpz	
100101332	dolpp1	
494760	irf5	
446720	pi4ka	
379181	acsbg2	
447181	nme3-a	
432059	stam	
379469	tpm4b	
380585	qrsl1	
443729	rps6ka6	
399203	pip5k1a	
100158281	sort1	
379356	MGC52924	
494588	gemin2	
447316	gpat3	
398510	LOC398510	
379632	MGC68847	
379079	eno1-a	
379716	pex11b	
379266	ntrk2-b	
380401	homer2	
379855	paics	
380313	rpl30	
447463	MGC81684	
394355	ldhb-b	
443873	MGC79146	
380326	alg5	
380282	mcm6.2-b	
380475	pfn2	
379777	sumo2-a	
495197	maoa	
444757	pnpo	
494801	LOC494801	
399166	ppp2r5e1	
379847	dync1li1-a	
494639	arpc4	
447542	extl3	
443655	rnaseh2a	
446399	wdr75	
100037189	cyp3a4	
398813	fmo5	
414647	b3gnt2	
779436	cyth1	
443902	MGC80164	
100158376	prpf40a	
443877	ak1-a	
398872	mdh1	
443991	man2a2	
495963	LOC495963	
779438	gnai2	
379209	MGC53355	
100294516	gria3	
446745	ptpn2	
447452	gtse1	
379390	MGC53795	
734414	cul1	
380317	dnaja2	
380494	nup155	
495264	atp6v1g3	
494865	itpkc	
100037138	nup107	
399388	irs4	
100049143	atg16l1	
444353	cybb	
100049097	lsm3	
379659	smad9	
379935	psma3	
100037062	LOC100037062	
100126640	ddc	
379229	aldh9a1	
398307	mapt	
447142	cox17	
398763	agtr1-a	
444419	idh3a	
379165	taok1	
734988	MGC130901	
378562	fgf9	
394281	tcf7l1-b	
398218	dazap1	
100462906	arf-1	
373592	dkk1	
447017	fam213b	
100036869	LOC100036869	
398401	camkk1	
734678	mcee	
733440	LOC733440	
100381149	galnt6	
394331	smad7	
443925	capza2	
495951	nme4-b	
398704	gtf2a1-a	
734362	col9a2	
495009	smpd4	
398514	rpn1	
379575	tktl2	
444364	MGC82844	
495444	ugcg-b	
380495	gcat	
398163	ccnb1	
734257	agmat	
443652	f2	
398710	arhgef12	
733359	LOC733359	
443730	patl2	
379396	cldn7	
447155	pemt	
444459	ppa2	
493575	pdgfb	
100137697	xylb	
379769	hadhb	
379401	uqcrc1	
100127248	lct.1	
446827	MGC80612	
443921	socs1-a	
398716	prmt1-b	
100158335	plaa	
443819	rpa2	
444315	MGC80994	
