Gene Symbol and Synonyms,Gene Symbol
b2414,cysK
b3774,ilvC
b1125,potB
b1800,dmlA
b1515,lsrD
b4090,rpiB
b3838,tatB
b0524,lpxH
b4261,lptF
b2308,hisQ
b4193,ulaA
b3433,asd
b2677,proV
b1096,pabC
b3297,rpsK
b1693,aroD
b1225,narH
b1746,astD
b3192,mlaC
b1918,yecS
b4374,yjjG
b1014,putA
b2075,mdtB
b3091,uxaA
b3788,rffG
b0765,modC
b2733,mutS
b3821,pldA
b3769,ilvM
b0182,lpxB
b1909,leuZ
b3700,recF
b3752,rbsK
b1951,rcsA
b3750,rbsC
b0665,glnV
b4079,fdhF
b3274,rrfD
b1116,lolC
b4460,araH
b2797,sdaB
b2262,menB
b1637,tyrS
b3619,hldD
b2287,nuoB
b3138,agaB
b0745,lysW
b0480,ushA
b3191,mlaB
b3668,uhpB
b3454,livF
b2177,yejA
b2551,glyA
b3806,cyaA
b4131,cadA
b0351,mhpF
b3475,acpT
b0672,leuW
b3608,gpsA
b4125,dcuS
b1117,lolD
b3992,thiF
b3564,xylB
b3993,thiE
b1941,fliI
b3066,dnaG
b3195,mlaF
b2498,upp
b4244,pyrI
b0728,sucC
b1298,puuD
b3772,ilvA
b1099,holB
b0755,gpmA
b2296,ackA
b4372,b4372; holD
b1076,flgE
b2065,dcd
b1395,paaH
b2307,hisM
b4129,lysU
b2836,aas
b1883,cheB
b1007,rutF
b4100,phnH
b0337,codA
b0131,panD
b2369,evgA
b0048,folA
b1860,ruvB
b0477,gsk
b1082,flgK
b0721,sdhC
b0286,paoA
b1680,sufS
b3319,rplD
b3628,waaB
b3623,waaU
b1805,fadD
b3426,glpD
b3318,rplW
b3171,metY
b0997,torA
b0639,nadD
b1270,btuR
b3919,tpiA
b3331,gspJ
b1993,cobU
b2253,arnB
b2892,recJ
b0444,queC
b3860,dsbA
b4117,adiA
b1818,manY
b2814,metZ
b2316,accD
b0433,ampG
b0856,potH
b4055,aphA
b2286,nuoC
b1197,treA
b3034,nudF
b0423,thiI
b3878,yihQ
b3011,yqhD
b0422,xseB
b4226,ppa
b0026,ileS
b3737,atpE
b2609,rpsP
b3542,dppC
b0642,leuS
b3303,rpsE
b3551,bisC
b0895,dmsB
b2600,tyrA
b3231,rplM
b4009,rrlE
b0216,aspV
b3519,treF
b0086,murF
b3430,glgC
b3187,ispB
b0474,adk
b1967,hchA
b1221,narL
b3967,murI
b2688,gshA; b2688
b0394,mak
b3288,fmt
b2786,barA
b0049,apaH
b2218,rcsC
b2560,pgpC
b0312,betB
b1496,yddA
b0002,thrA
b3478,nikC
b3844,fre
b2167,fruA
b4041,b4041; plsB
b2159,nfo
b2819,recD
b1293,sapB
b3734,atpA
b1083,flgL
b4105,phnD
b3867,hemN
b1074,flgC
b1238,tdk
b2704,srlB
b0512,allB
b1694,ydiF
b1676,pykF
b0507,gcl
b1882,cheY
b1982,amn
b1514,lsrC
b2463,maeB
b2868,xdhC
b2599,pheA
b3357,crp
b3945,gldA
b0366,tauB
b0334,prpD
b4034,malE
b2925,fbaA
b2919,scpB
b3855,rrfA
b3531,bcsZ
b0726,sucA
b3416,malQ
b3977,tyrU
b1863,ruvC
b2935,tktA
b1768,pncA
b1290,sapF
b3453,ugpB
b2189,proL
b1738,chbB
b2934,cmtB
b2407,xapA
b4262,lptG
b2277,nuoM
b3936,rpmE
b4042,dgkA; b4042
b2519,pbpC
b0776,bioF
b4113,basR
b1524,glsB
b2472,dapE
b2967,pheV
b1732,katE
b3035,tolC
b3315,rplV
b0932,pepN
b1493,gadB
b3543,dppB
b0472,recR
b1126,potA
b3822,recQ
b1881,cheZ
b2019,hisG
b3650,spoT
b1859,znuB
b1093,fabG
b1071,flgM
b0262,afuC
b0586,entF
b1448,mnaT
b0652,gltL
b0722,sdhD
b2883,guaD
b0851,nfsA
b1584,speG
b4197,ulaE
b1011,rutB
b0879,macB
b1073,flgB
b2278,nuoL
b3273,thrV
b3666,uhpT
b2435,amiA
b3935,priA
b1245,oppC
b0764,modB
b3634,coaD
b3176,glmM
b3796,argX
b4169,amiB
b0475,hemH
b0408,secD
b3708,tnaA
b0404,acpH
b0415,ribE
b1004,wrbA
b0523,purE
b2752,cysD
b1942,fliJ
b3132,kbaZ
b3736,atpF
b3701,dnaN
b3917,sbp
b3850,hemG
b3801,aslA
b3984,rplA
b2400,gltX
b2180,yejF
b3981,secE
b0494,tesA
b0409,secF
b3870,glnA
b1880,flhB
b3758,rrlC
b0285,paoB
b2282,nuoH
b0344,lacZ
b2968,yghD
b0090,murG
b3526,kdgK
b2178,yejB
b0575,cusA
b0470,dnaX
b0516,allC
b0068,thiB
b1009,rutD
b2589,rrlG
b3600,mtlD
b2417,crr
b2169,fruB
b3480,nikE
b0161,degP
b3198,kdsC
b3124,garK
b2779,eno
b0854,potF
b2478,dapA
b3008,metC
b0104,guaC
b3868,glnG
b0323,yahI
b4362,dnaT
b0175,cdsA
b3978,glyT
b0654,gltJ
b2994,hybC
b3846,fadB
b0679,nagE
b0417,thiL
b3994,thiC
b3425,glpE
b3452,ugpA
b1945,fliM
b3133,agaV
b0243,proA
b0968,yccX
b2077,iceT
