Gene Symbol and Synonyms,Gene Symbol
Rv1599,hisD
Rv1908c,katG
Rv0127,mak
Rv2831,echA16
Rv2983,Rv2983
Rv1649,pheS
Rv2380c,mbtE
Rv2334,cysK1
Rv1391,dfp
Rv1621c,cydD
Rv2158c,murE
Rv2054,Rv2054
Rv0930,pstA1
Rv3913,trxB2
Rv2398c,cysW
Rv3717,Rv3717
Rv1849,ureB
Rv1092c,coaA
Rv2213,pepB
Rv3568c,hsaC
Rv3818,Rv3818
Rv1967,mce3B
Rv0720,rplR
Rv0694,Rv0694
Rvnt21,proT
Rv0553,menC
Rv2384,mbtA
Rv0902c,prrB
Rv1640c,lysX
Rv2394,ggtB
Rv0118c,oxcA
Rv3589,mutY
Rv1530,adh
Rv2156c,murX
Rv0172,mce1D
Rv3148,nuoD
Rv1415,ribA2
Rvnt40,proY
Rv1210,tagA
Rv1133c,metE
Rv3276c,purK
Rv2115c,mpa
Rv0131c,fadE1
Rvnt03,leuT
Rv2187,fadD15
Rv3001c,ilvC
Rv2392,cysH
Rv3330,dacB1
Rv3417c,groEL1
Rv0054,ssb
Rv3436c,glmS
Rv2397c,cysA1
Rv1555,frdD
Rv1318c,Rv1318c
Rv3248c,sahH
Rv2131c,cysQ
Rv1659,argH
Rv0946c,pgi
Rv0154c,fadE2
Rv3310,sapM
Rv3262,fbiB
Rv2849c,cobO
Rv1559,ilvA
Rv0156,pntAb
Rvnt12,aspT
Rv2909c,rpsP
Rv0840c,pip
Rv1007c,metS
Rv3111,moaC1
Rv1968,mce3C
Rv2539c,aroK
Rv2438c,nadE
Rv1020,mfd
Rv2552c,aroE
Rv3588c,canB
Rv3112,moaD1
Rv0211,pckA
Rv3283,sseA
Rv3297,nei
Rv0719,rplF
Rv2671,ribD
Rv2382c,mbtC
Rv0069c,sdaA
Rv0331,Rv0331
Rv3774,echA21
Rv0070c,glyA2
Rv2201,asnB
Rv2191,Rv2191
Rv3261,fbiA
Rv2109c,prcA
Rv3460c,rpsM
Rv1026,Rv1026
Rv1207,folP2
Rv0771,Rv0771
Rv0751c,mmsB
Rv0933,pstB
Rv3198c,uvrD2
Rv2210c,ilvE
Rv3535c,hsaG
Rv0844c,narL
Rv1643,rplT
Rv1436,gap
Rv1336,cysM
Rv1293,lysA
Rv2192c,trpD
Rv0993,galU
Rvnt08,trpT
Rv0468,fadB2
Rv0638,secE1
Rv1869c,Rv1869c
Rv0115,hddA
Rv1402,priA
Rv3516,echA19
Rv3257c,pmmA
Rv3307,deoD
Rv3498c,mce4B
Rv3140,fadE23
Rv0058,dnaB
Rv1173,fbiC
Rv2753c,dapA
Rv2153c,murG
Rv1843c,guaB1
Rv0512,hemB
Rv0958,Rv0958
Rv2217,lipB
Rv2391,sirA
Rv2476c,gdh
Rv2413c,Rv2413c
Rv0669c,Rv0669c
Rvnt45,serU
Rv1298,rpmE
Rv0641,rplA
