Gene ID	Gene Symbol	
541781	LOC541781	
103652087	LOC103652087	
103635582	LOC103635582	
100281761	LOC100281761	
103647201	PARP1	
100192761	TIDP3705	
100216757	LOC100216757	
103625791	LOC103625791	
103628586	LOC103628586	
103641317	LOC103641317	
100286118	LOC100286118	
100273900	LOC100273900	
100273000	LOC100273000	
103643012	LOC103643012	
100194203	LOC100194203	
103631163	LOC103631163	
100193269	LOC100193269	
103654534	LOC103654534	
100283886	LOC100283886	
100500983	LOC100500983	
100283904	pco086002	
100283337	TIDP3172	
103651524	LOC103651524	
100192108	LOC100192108	
100383475	LOC100383475	
103653842	LOC103653842	
100191469	LOC100191469	
103641497	LOC103641497	
100284387	LOC100284387	
103628476	LOC103628476	
100284237	LOC100284237	
103641081	LOC103641081	
100280755	LOC100280755	
100383541	LOC100383541	
100384654	pco088497(644)	
100282503	cl2158_1	
103648145	LOC103648145	
845254	trnI	
100383520	LOC100383520	
100381303	LOC100381303	
103654922	LOC103654922	
100273798	LOC100273798	
100282513	LOC100282513	
100304273	LOC100304273	
100282166	LOC100282166	
100192774	pco145462	
100273512	LOC100273512	
100381786	LOC100381786	
103626841	LOC103626841	
100501537	LOC100501537	
103630233	LOC103630233	
100276798	LOC100276798	
100501185	LOC100501185	
541630	gpm84	
103636991	LOC103636991	
100281924	LOC100281924	
103638283	LOC103638283	
100280887	AY109859	
103639865	LOC103639865	
103649451	LOC103649451	
100272889	LOC100272889	
103634418	LOC103634418	
103637371	LOC103637371	
103627470	LOC103627470	
100281008	pco144871	
541774	rop3	
542324	LOC542324	
103655371	LOC103655371	
100192833	si946019d11	
100281742	LOC100281742	
100273931	LOC100273931	
103647708	LOC103647708	
100281464	LOC100281464	
100383212	LOC100383212	
100216611	LOC100216611	
100283945	LOC100283945	
103639808	LOC103639808	
103643394	LOC103643394	
103636577	LOC103636577	
542758	rop5	
100382976	LOC100382976	
100191326	LOC100191326	
100192735	LOC100192735	
103653609	LOC103653609	
100191851	LOC100191851	
100501351	LOC100501351	
100191949	LOC100191949	
103643294	LOC103643294	
100279513	LOC100279513	
542172	LOC542172	
100191234	pco102509	
100382158	LOC100382158	
100191939	LOC100191939	
100279342	LOC100279342	
103638515	LOC103638515	
100216845	pco095974	
103632740	LOC103632740	
103642367	LOC103642367	
100282612	TIDP3431	
100283198	pco133953b	
103633333	LOC103633333	
103634220	LOC103634220	
100286050	LOC100286050	
100280817	si605086d03	
103642814	LOC103642814	
100192945	LOC100192945	
100502214	LOC100502214	
100274263	pco082145	
100272829	LOC100272829	
100280412	LOC100280412	
103639542	LOC103639542	
100384036	LOC100384036	
103653397	LOC103653397	
103647705	aprl2	
103654581	LOC103654581	
103633191	LOC103633191	
100275133	LOC100275133	
100284115	LOC100284115	
100856957	LOC100856957	
100037802	LOX2	
100383602	LOC100383602	
100283382	LOC100283382	
100191552	LOC100191552	
100382775	LOC100382775	
100275494	pco128327	
100285366	LOC100285366	
103638140	LOC103638140	
100273536	LOC100273536	
542712	fht1	
542637	gpm388c	
100273922	LOC100273922	
100279815	LOC100279815	
100282834	LOC100282834	
100381766	LOC100381766	
100280816	LOC100280816	
103631778	LOC103631778	
100272448	LOC100272448	
100381759	LOC100381759	
103631626	LOC103631626	
100286075	LOC100286075	
103631854	LOC103631854	
103632485	LOC103632485	
100383254	LOC100383254	
100286131	pco103251(511)	
103650626	LOC103650626	
103638134	LOC103638134	
103643125	LOC103643125	
101027109	LOC101027109	
100273920	LOC100273920	
100272842	LOC100272842	
100383640	LOC100383640	
103655031	LOC103655031	
103630641	LOC103630641	
103631860	LOC103631860	
103652945	LOC103652945	
103626898	LOC103626898	
103647881	LOC103647881	
100383139	LOC100383139	
542573	NIT1	
100192586	LOC100192586	
542115	glx1	
541626	L-FNRII	
100501536	LOC100501536	
103627708	LOC103627708	
542217	LOC542217	
103641394	LOC103641394	
100279947	TIDP2822	
732819	vp14	
100856970	LOC100856970	
103635444	LOC103635444	
103626769	LOC103626769	
100191781	pco130820	
100502521	CCD7	
542091	sus2	
606416	pdi10	
100191922	LOC100191922	
100857083	P4H6	
100216789	LOC100216789	
100279867	LOC100279867	
103631069	LOC103631069	
103639633	LOC103639633	
100194405	LOC100194405	
103652986	LOC103652986	
100281518	LOC100281518	
103630777	LOC103630777	
100272953	LOC100272953	
103633605	LOC103633605	
100282122	pco096967	
100501482	LOC100501482	
103641361	LOC103641361	
103650849	LOC103650849	
100283973	LOC100283973	
100283785	cl9687_1	
103625805	LOC103625805	
100279316	LOC100279316	
100194008	LOC100194008	
103629787	LOC103629787	
103638079	LOC103638079	
100281225	LOC100281225	
100191304	LOC100191304	
